Test,Source,Parsed At,Question ID,Question,Main Chapter,Subchapter,Secondary Subchapters,Reasoning
MEXT,2019 Physics,2026-05-01 07:36:47,1(1),Find distance traveled by car using velocity-time graph,2 Kinematics,2.1 Equations of motion,,Candidates must determine displacement from the area under a velocity–time graph.
MEXT,2019 Physics,2026-05-01 07:36:47,1(2),Calculate max height of bouncing ball after n impacts,3 Dynamics,3.3 Linear momentum and its conservation,2.1 Equations of motion,Involves inelastic interactions; knowledge of kinematic equations for falling bodies is required.
MEXT,2019 Physics,2026-05-01 07:36:47,1(3),Find magnitude of magnetic field between parallel wires,20 Magnetic fields,20.4 Magnetic fields due to currents,,Requires understanding magnetic field patterns due to currents in long straight wires.
MEXT,2019 Physics,2026-05-01 07:36:47,1(4),Determine formula for traveling sinusoidal wave displacement,7 Waves,7.1 Progressive waves,,"Requires using terms like displacement, amplitude, and frequency for wave motion."
MEXT,2019 Physics,2026-05-01 07:36:47,1(5),Calculate speed of sound from resonance positions in tube,8 Superposition,8.1 Stationary waves,,Relates to determining wavelength from node/antinode positions in air columns.
MEXT,2019 Physics,2026-05-01 07:36:47,2(1),Find initial resistor current in RC circuit loop,10 D.C. circuits,10.1 Practical circuits,9.1 Electric current,Requires interpreting circuit diagrams and understanding initial capacitor behavior.
MEXT,2019 Physics,2026-05-01 07:36:47,2(2),Find charge on capacitor after long time in DC circuit,19 Capacitance,19.1 Capacitors and capacitance,,Candidates must recall and use the relationship $C = Q/V$.
MEXT,2019 Physics,2026-05-01 07:36:47,2(3),Calculate Joule heat generated while charging a capacitor,19 Capacitance,19.2 Energy stored in a capacitor,9.2 Potential difference and power,Involves energy stored in a capacitor and power dissipation in resistors.
MEXT,2019 Physics,2026-05-01 07:36:47,2(4),Identify graph of current over time in discharging circuit,19 Capacitance,19.3 Discharging a capacitor,21.1 Characteristics of alternating currents,Involves analyzing variations of current over time in a discharging loop.
MEXT,2019 Physics,2026-05-01 07:36:47,2(5),Calculate maximum current value in LC oscillating circuit,19 Capacitance,19.2 Energy stored in a capacitor,20.5 Electromagnetic induction,Uses energy conservation between capacitor electrical energy and inductor magnetic energy.
MEXT,2019 Physics,2026-05-01 07:36:47,3(1),Find horizontal coordinate of projectile at time t,2 Kinematics,2.1 Equations of motion,,Requires explaining motion due to a uniform horizontal velocity.
MEXT,2019 Physics,2026-05-01 07:36:47,3(2),Find vertical coordinate of projectile at time t,2 Kinematics,2.1 Equations of motion,,Requires using equations for motion in a uniform gravitational field.
MEXT,2019 Physics,2026-05-01 07:36:47,3(3),Derive critical speed to bypass a sloped plane,2 Kinematics,2.1 Equations of motion,,Involves solving complex projectile motion problems using kinematic equations.
MEXT,2019 Physics,2026-05-01 07:36:47,3(4),Find impact point horizontal coordinate on a slope,2 Kinematics,2.1 Equations of motion,,Approximate mapping for resolving projectile components onto an inclined boundary.
MEXT,2019 Physics,2026-05-01 07:36:47,4(1),Find new equilibrium piston height after adding mass,15 Ideal gases,15.2 Equation of state,4.3 Density and pressure,Relates gas volume changes to pressure and mass-induced equilibrium.
MEXT,2019 Physics,2026-05-01 07:36:47,4(2),Calculate work done on gas by air during compression,16 Thermodynamics,16.2 The first law of thermodynamics,,Candidates must recall and use $W = p\Delta V$ for volume changes.
MEXT,2019 Physics,2026-05-01 07:36:47,4(3),Find final gas temperature after adiabatic expansion,15 Ideal gases,15.2 Equation of state,16.1 Internal energy,Involves state changes and relating temperature to pressure/volume variations.
MEXT,2019 Physics,2026-05-01 07:36:47,4(4),Determine final piston height after thermal equilibrium,14 Temperature,14.1 Thermal equilibrium,15.2 Equation of state,Based on system temperature returning to ambient equilibrium levels.
MEXT,2019 Physics,2026-05-01 07:36:47,5(1),Find light wavelength inside a thin film,7 Waves,7.1 Progressive waves,,Involves understanding how wavelength changes in different refractive media.
MEXT,2019 Physics,2026-05-01 07:36:47,5(2),Determine relationship between incident and refractive angles,7 Waves,7.1 Progressive waves,,Relates to wave speed and Snell's law at boundaries.
MEXT,2019 Physics,2026-05-01 07:36:47,5(3),Find condition for thin film constructive interference,8 Superposition,8.3 Interference,,Candidates must understand the conditions required for interference fringes.
MEXT,2019 Physics,2026-05-01 07:36:47,5(4),Derive film thickness formula for constructive interference,8 Superposition,8.3 Interference,,Path difference principles applied to determine specific interference outcomes.
